iter	Passed	Remaining
0	9	9032
1	18	9099
2	27	8978
3	35	8809
4	43	8728
5	52	8687
6	74	10598
7	170	21104
8	182	20064
9	190	18894
10	199	17929
11	208	17135
12	217	16495
13	319	22532
14	330	21719
15	341	20973
16	352	20396
17	364	19864
18	424	21912
19	482	23656
20	491	22932
21	501	22313
22	512	21759
23	521	21187
24	566	22086
25	633	23749
26	644	23225
27	653	22682
28	663	22231
29	673	21767
30	733	22935
31	791	23937
32	801	23488
33	811	23068
34	821	22640
35	831	22254
36	890	23164
37	948	24023
38	959	23643
39	968	23248
40	978	22898
41	987	22526
42	1031	22960
43	1108	24083
44	1119	23748
45	1127	23379
46	1136	23041
47	1144	22696
48	1156	22444
49	1251	23770
50	1270	23636
51	1281	23355
52	1291	23080
53	1302	22809
54	1311	22529
55	1412	23813
56	1421	23514
57	1429	23220
58	1438	22945
59	1447	22676
60	1455	22408
61	1464	22153
62	1491	22177
63	1582	23143
64	1595	22950
65	1604	22700
66	1613	22469
67	1623	22255
68	1729	23332
69	1738	23091
70	1746	22854
71	1754	22618
72	1763	22396
73	1772	22175
74	1808	22299
75	1891	22990
76	1899	22769
77	1908	22556
78	1916	22341
79	1924	22132
80	1933	21931
81	1974	22101
82	2050	22655
83	2059	22460
84	2068	22264
85	2077	22081
86	2085	21887
87	2095	21712
88	2103	21529
89	2112	21364
90	2167	21650
91	2230	22011
92	2239	21836
93	2247	21660
94	2258	21516
95	2267	21347
96	2278	21209
97	2386	21969
98	2396	21806
99	2405	21646
100	2413	21483
101	2422	21331
102	2431	21172
103	2488	21437
104	2550	21738
105	2557	21572
106	2566	21417
107	2573	21257
108	2582	21113
109	2591	20964
110	2659	21301
111	2700	21409
112	2708	21263
113	2718	21127
114	2726	20983
115	2735	20844
116	2743	20704
117	2752	20575
118	2760	20440
119	2769	20313
120	2778	20185
121	2786	20056
122	2795	19934
123	2804	19809
124	2813	19692
125	2821	19570
126	2830	19455
127	2838	19337
128	2847	19225
129	2855	19109
130	2864	19002
131	2872	18890
132	2882	18787
133	2890	18680
134	2899	18577
135	2907	18473
136	2987	18821
137	3020	18866
138	3029	18767
139	3038	18666
140	3048	18571
141	3057	18475
142	3121	18705
143	3175	18878
144	3184	18777
145	3193	18682
146	3203	18587
147	3213	18497
148	3243	18522
149	3334	18895
150	3346	18818
151	3370	18803
152	3428	18981
153	3483	19136
154	3493	19045
155	3502	18950
156	3511	18855
157	3521	18767
158	3538	18718
159	3640	19110
160	3651	19027
161	3661	18939
162	3671	18852
163	3680	18763
164	3717	18812
165	3800	19095
166	3809	19002
167	3819	18914
168	3828	18825
169	3838	18742
170	3848	18659
171	3858	18573
172	3867	18489
173	3972	18859
174	3984	18783
175	3992	18691
176	4001	18605
177	4009	18516
178	4018	18429
179	4043	18420
180	4134	18706
181	4142	18619
182	4151	18532
